1 9.990000e-01
2 2.148000e+00
3 3.407000e+00
4 4.882000e+00
5 6.459000e+00
6 8.186000e+00
7 9.967000e+00
8 1.206400e+01
9 1.454300e+01
10 1.710800e+01
11 1.929500e+01
12 2.223200e+01
13 2.530300e+01
14 2.883000e+01
15 3.227900e+01
16 3.555200e+01
17 3.911900e+01
18 4.290400e+01
19 4.685100e+01
20 5.091800e+01
21 5.491100e+01
22 5.943400e+01
23 6.362700e+01
24 6.788800e+01
25 7.296300e+01
26 7.707600e+01
27 8.281500e+01
28 8.804400e+01
29 9.285100e+01
30 9.803400e+01
31 1.033950e+02
32 1.091740e+02
33 1.156630e+02
34 1.214500e+02
35 1.268510e+02
36 1.338040e+02
37 1.409230e+02
38 1.479020e+02
39 1.547670e+02
40 1.612680e+02
41 1.691990e+02
42 1.768700e+02
43 1.844030e+02
44 1.917720e+02
45 1.992390e+02
46 2.072100e+02
47 2.158030e+02
48 2.250960e+02
49 2.335070e+02
50 2.424620e+02
51 2.520750e+02
52 2.619880e+02
53 2.721550e+02
54 2.816940e+02
55 2.909590e+02
56 3.007660e+02
57 3.115790e+02
58 3.209960e+02
59 3.318310e+02
60 3.432020e+02
61 3.543870e+02
62 3.640740e+02
63 3.749630e+02
64 3.857480e+02
65 3.966870e+02
66 4.072360e+02
67 4.179990e+02
68 4.304280e+02
69 4.422390e+02
70 4.547820e+02
71 4.658230e+02
72 4.785080e+02
73 4.908070e+02
74 5.023620e+02
75 5.138910e+02
76 5.264260e+02
77 5.398790e+02
78 5.522880e+02
79 5.660630e+02
80 5.790100e+02
81 5.920350e+02
82 6.072880e+02
83 6.212710e+02
84 6.339800e+02
85 6.491190e+02
86 6.645600e+02
87 6.801590e+02
88 6.946200e+02
89 7.104870e+02
90 7.259040e+02
91 7.420270e+02
92 7.562000e+02
93 7.715670e+02
94 7.878500e+02
95 8.037110e+02
96 8.190020e+02
97 8.377150e+02
98 8.549660e+02
99 8.707710e+02
